@id,@lat,@lon,surveillance:type,operator,direction
13254951703,41.9850389,-87.7875535,ALPR,,330
13261802811,41.9528279,-87.7766735,ALPR,,345
13261802987,41.9454978,-87.7763978,ALPR,,345
13261832160,41.9471027,-87.7764576,ALPR,,335
13267622719,41.9244380,-87.7926871,ALPR,,115
13267622720,41.9241620,-87.7920282,ALPR,,20
13285953301,41.9576815,-87.6886525,ALPR,,0
13287206329,41.9513628,-87.7273354,ALPR,,130
13311202701,41.8794589,-87.6351382,ALPR,,328
13320240001,41.8906519,-87.6868385,ALPR,,261
13322825101,41.9323441,-87.6684548,ALPR,,178
13326055876,41.9390233,-87.7276344,ALPR,,310
13326055878,41.8660969,-87.6407837,ALPR,,220
13326055879,41.8665548,-87.6408387,ALPR,,300;200
13326055880,41.8669710,-87.6464381,ALPR,,50
13326055881,41.8701379,-87.6454658,ALPR,,140
13326055882,41.8819103,-87.6279174,ALPR,,150
13326055883,41.8821771,-87.6276887,ALPR,,320
13326055884,41.8821053,-87.6279984,ALPR,,100
13329036559,41.9760479,-87.6922494,ALPR,,330
13329044114,41.9776012,-87.6926510,ALPR,,165
13358125874,41.8743876,-87.7177652,ALPR,,250
13358125875,41.8734552,-87.7191724,ALPR,,45
13358125876,41.8745080,-87.7211602,ALPR,,230
13359689301,41.8948852,-87.6253802,ALPR,,248-293
13370000401,41.9061822,-87.6698958,ALPR,,61-106
13373935847,41.9753187,-87.8365099,ALPR,,320
13375020601,41.8685094,-87.6960269,ALPR,,166
13381100405,41.9607253,-87.7545116,ALPR,,330
13383484090,41.9462577,-87.7394896,ALPR,,270
13388635620,41.9033142,-87.6616959,ALPR,,180
13389422981,41.9973997,-87.7881884,ALPR,,270
13394459301,41.8589170,-87.7249430,ALPR,,0
13394459302,41.8671143,-87.7252213,ALPR,,172
13394467501,41.8078555,-87.7236161,ALPR,,172
13394468202,41.7931401,-87.7232440,ALPR,,154
13398730052,41.9974814,-87.7669226,ALPR,,300
13450572601,41.7957132,-87.8014665,ALPR,,332
13451711187,41.9326752,-87.6586844,ALPR,,345
13451711188,41.9033724,-87.6677053,ALPR,,270
13451711189,41.8965403,-87.6327541,ALPR,,180
13451748099,41.9618406,-87.6524572,ALPR,,270
13451751911,41.9683323,-87.7134403,ALPR,,180
13451753831,41.9618415,-87.6469061,ALPR,,135
13451808206,41.8544963,-87.7149569,ALPR,,60
13451808207,41.8545555,-87.7152177,ALPR,,240
13451808208,41.8625751,-87.7055063,ALPR,,0
13451810762,41.8667599,-87.6859436,ALPR,,0
13451810763,41.8667644,-87.6860140,ALPR,,0
13451814419,41.9685338,-87.7074156,ALPR,,245
13456943167,41.9323379,-87.6784693,ALPR,,270
13470566306,41.9318442,-87.7270875,ALPR,,270
13470566307,41.9317240,-87.7378949,ALPR,,250
13472618155,41.9977203,-87.6897069,ALPR,,90
13472618156,41.9982144,-87.6607790,ALPR,,270
13472618157,41.9980951,-87.6605935,ALPR,,180
13472618158,41.9396163,-87.6784879,ALPR,,270
13472618159,41.9611160,-87.7082997,ALPR,,180
13472618160,42.0119889,-87.6997881,ALPR,,180
13472618161,42.0119357,-87.7043389,ALPR,,90
13472618162,42.0122059,-87.6950910,ALPR,,270
13472620014,41.9760606,-87.6795523,ALPR,,270
13472625009,41.9974500,-87.7044155,ALPR,,90
13478178578,41.7793490,-87.6835900,ALPR,,0
13478178579,41.7792996,-87.6838399,ALPR,,270
13478178580,41.7791014,-87.6837126,ALPR,,180
13478178581,41.7791545,-87.6834411,ALPR,,90
13478178582,41.7793455,-87.6643049,ALPR,,180
13478214485,41.7142025,-87.6427813,ALPR,,80
13478214486,41.7145437,-87.6428165,ALPR,Illinois State Police,90
13478226021,41.7685254,-87.6637430,ALPR,,90
13478226022,41.7357407,-87.6628788,ALPR,,90
13478262506,41.7133980,-87.6201024,ALPR,Illinois State Police,110
13478262507,41.7138837,-87.6204569,ALPR,Illinois State Police,305
13478262508,41.7140765,-87.6204986,ALPR,Illinois State Police,305
13481121001,41.8948286,-87.7652724,ALPR,,90
13481121002,41.9023128,-87.7556432,ALPR,,250
13485263601,41.9116340,-87.6516930,ALPR,,152
13504726901,41.9114072,-87.6515064,ALPR,,80
13505310101,41.9119048,-87.6513068,ALPR,,321
13510255901,41.9279204,-87.6744433,ALPR,,252
13517221902,41.6915630,-87.7008175,ALPR,,0;88;176;266
13517324001,41.7061520,-87.7006044,ALPR,,86
13517793301,41.7065420,-87.6816577,ALPR,,0
